"Transcription.Start"	"Transcription.Stop"	"Translation.Start"	"Translation.Stop"	"Strand"	"Name"	"Synonym"	"Normalized.Counts.1"	"Normalized.Counts.2"	"Expression.1"	"Expression.2"	"pValue.1.vs.2"	"qValue.1.vs.2"	"logNormalized.Counts"
304281	304232	NA	NA	"-"	"-"	"predicted RNA"	658	43433	13	868	3.75215706915816e-91	5.78082332454967e-88	6.04456021174082
4543709	4543722	NA	NA	"+"	"-"	"predicted RNA"	335	20384	23	1456	2.45271076207376e-32	8.09744938736066e-30	5.92713227691117
4496405	4496489	NA	NA	"+"	"leuX"	"b4270"	42979	1092477	505	12852	1.67626073334867e-35	6.45639759128128e-33	4.66782718093837
4548285	4548788	4548285	4548788	"+"	"fimG"	"b4319"	2377	56139	4	111	1.63954762234981e-26	4.73624319406301e-24	4.56178955706254
NA	4392945	4392892	4392945	"+"	"yjeV"	"b4670"	684	14014	12	259	8.57182948251102e-08	9.90474896704148e-06	4.3567286660077
NA	NA	4548808	4549710	"+"	"fimH"	"b4320"	4616	90824	5	100	3.97910377118932e-21	8.75781791925574e-19	4.29835844711882
3427152	3427076	NA	NA	"-"	"ileU"	"b3277"	112881	1732413	1465	22498	3.01693664569908e-17	6.06273094627006e-15	3.93990832463061
NA	NA	2071539	2074658	"+"	"flu"	"b2000"	39976	442497	12	141	8.92499480237577e-06	0.00071122975821691	3.46846164588008
4037260	4037335	NA	NA	"+"	"alaT"	"b3853"	113962	1117755	1499	14707	5.76270415663898e-07	5.66706778978412e-05	3.29397924844559
758559	761507	758706	761507	"+"	"sucA"	"b0726"	1895857	348895	676	124	8.24122922382859e-06	0.000668262481974311	-2.44198532168311
2263588	NA	2263495	2262365	"-"	"fruB"	"b2169"	1445594	173868	1278	153	8.67152960435805e-07	8.34996038152977e-05	-3.0555980858295
NA	2261423	2262365	2261427	"-"	"fruK"	"b2168"	1335965	117985	1422	125	4.49929215645905e-09	5.47256009135625e-07	-3.50120685255737
2261422	2261411	NA	NA	"-"	"-"	"predicted RNA"	27733	1592	2311	132	2.23289660962486e-17	4.69111278622095e-15	-4.12269144646218
1279807	NA	1279864	1283607	"+"	"narG"	"b1224"	224506	12571	59	3	1.08234283609747e-05	0.000847896370922455	-4.15858267882127
3957916	3959445	3957970	3959445	"+"	"ilvC"	"b3774"	303879	16935	205	11	3.18880818786724e-11	5.0823004980422e-09	-4.16541708682244
3550079	3547983	3550070	3547986	"-"	"malQ"	"b3416"	391603	21279	187	10	2.89453352961736e-22	6.68926698694572e-20	-4.20188955867147
